pair_id,pair_type,confidence,doc_a_id,doc_b_id,doc_id,folder_code,score,scenario_a,scenario_b,scenario,layout_a,layout_b,layout,items_a,items_b,ru_items,kk_items,mtime_delta_hours,earlier_mtime_doc,filename_lang_a,filename_lang_b,date_overlap,stem_similarity,kk_after_ru,relation,drift_score,source_language_hint
P001,separate_files,weak,fb7b9c212364,b40c6ad5648d,,mixed,0.405,S_CONFERENCE,S_RESPONSIBILITY,,bilingual_ru_after_kk,bilingual_ru_after_kk,,8,8,,,30.3,b40c6ad5648d,translation_marker,translation_marker,0.33,0.0,,,,unknown
P002,separate_files,weak,fb7b9c212364,5463c8f88a71,,mixed,0.436,S_CONFERENCE,S_PAID_SERVICES,,bilingual_ru_after_kk,bilingual_kk_after_ru,,8,8,,,288.6,5463c8f88a71,translation_marker,ru,0.33,0.0,,,,kk_first
P003,separate_files,weak,fb7b9c212364,20d878c43745,,mixed,0.425,S_CONFERENCE,S_TRAINING,,bilingual_ru_after_kk,kk_only_content,,8,8,,,391.5,20d878c43745,translation_marker,ru,0.33,0.0,,,,kk_first
P004,separate_files,weak,fb7b9c212364,63bc8b8d9cd4,,mixed,0.395,S_CONFERENCE,S_DISCIPLINE,,bilingual_ru_after_kk,bilingual_ru_after_kk,,8,8,,,47.4,fb7b9c212364,translation_marker,translation_marker,0.33,0.0,,,,unknown
P005,separate_files,weak,fb7b9c212364,54c7c816e5b3,,mixed,0.387,S_CONFERENCE,S_DISCIPLINE,,bilingual_ru_after_kk,bilingual_ru_after_kk,,8,8,,,644.9,fb7b9c212364,translation_marker,translation_marker,0.5,0.0,,,,unknown
P006,separate_files,weak,fb7b9c212364,8b3fb2bdd287,,mixed,0.475,S_CONFERENCE,S_CLINICAL,,bilingual_ru_after_kk,bilingual_ru_after_kk,,8,8,,,192.8,8b3fb2bdd287,translation_marker,ru,0.5,0.0,,,,kk_first
P007,separate_files,weak,3dce39bf108d,9883690299d0,,b2f174b5,0.392,S_TRANSPORT,S_TRANSPORT,,bilingual_ru_after_kk,bilingual_ru_after_kk,,20,28,,,550.3,9883690299d0,kk,kk,0.0,0.57,,,,unknown
P008,separate_files,weak,3dce39bf108d,171125732338,,b2f174b5,0.468,S_TRANSPORT,S_CLINICAL,,bilingual_ru_after_kk,bilingual_ru_after_kk,,20,60,,,0.2,3dce39bf108d,kk,kk,1.0,0.17,,,,unknown
P009,separate_files,weak,3dce39bf108d,dc490986a1ad,,b2f174b5,0.491,S_TRANSPORT,S_COMMISSION,,bilingual_ru_after_kk,bilingual_ru_after_kk,,20,15,,,0.4,3dce39bf108d,kk,kk,1.0,0.25,,,,unknown
P010,separate_files,weak,3dce39bf108d,b5108d3950b6,,b2f174b5,0.464,S_TRANSPORT,S_EPID,,bilingual_ru_after_kk,bilingual_kk_after_ru,,20,10,,,840.1,3dce39bf108d,kk,ru,1.0,0.11,,,,kk_first
P011,separate_files,weak,3dce39bf108d,6606b1c758c7,,b2f174b5,0.39,S_TRANSPORT,S_COMMISSION,,bilingual_ru_after_kk,bilingual_interleaved,,20,6,,,3071.9,3dce39bf108d,kk,ru,0.5,0.1,,,,kk_first
P012,separate_files,weak,3dce39bf108d,d8caddff4d48,,b2f174b5,0.464,S_TRANSPORT,S_CLINICAL,,bilingual_ru_after_kk,bilingual_kk_after_ru,,20,58,,,192.2,d8caddff4d48,kk,translation_marker,1.0,0.0,,,,unknown
P013,separate_files,weak,171125732338,dc490986a1ad,,b2f174b5,0.518,S_CLINICAL,S_COMMISSION,,bilingual_ru_after_kk,bilingual_ru_after_kk,,60,15,,,0.2,171125732338,kk,kk,1.0,0.18,,,,unknown
P014,separate_files,weak,171125732338,b5108d3950b6,,b2f174b5,0.479,S_CLINICAL,S_EPID,,bilingual_ru_after_kk,bilingual_kk_after_ru,,60,10,,,839.9,171125732338,kk,ru,1.0,0.05,,,,kk_first
P015,separate_files,weak,171125732338,d8caddff4d48,,b2f174b5,0.535,S_CLINICAL,S_CLINICAL,,bilingual_ru_after_kk,bilingual_kk_after_ru,,60,58,,,192.4,d8caddff4d48,kk,translation_marker,1.0,0.0,,,,unknown
P016,separate_files,weak,dc490986a1ad,b5108d3950b6,,b2f174b5,0.461,S_COMMISSION,S_EPID,,bilingual_ru_after_kk,bilingual_kk_after_ru,,15,10,,,839.7,dc490986a1ad,kk,ru,1.0,0.07,,,,kk_first
