metric,value,evidence_level
corpus_total_files,193,confirmed
docx_analyzed,183,confirmed
filename_ru_primary,123,confirmed
filename_kk_primary,7,confirmed
content_ru_only,4,confirmed
content_kk_only,41,confirmed
content_bilingual_same_file,135,confirmed
bilingual_kk_after_ru,75,confirmed
bilingual_ru_after_kk,54,confirmed
separate_file_high_pairs,64,confirmed
separate_file_probable_pairs,360,confirmed
separate_file_weak_pairs,907,confirmed
intra_document_bilingual,135,confirmed
translation_filename_markers,63,confirmed
layout_bilingual_kk_after_ru,75,confirmed
layout_bilingual_ru_after_kk,54,confirmed
layout_kk_only_content,41,confirmed
layout_bilingual_interleaved,6,confirmed
layout_ru_only_content,4,confirmed
layout_unknown_content,3,confirmed
